Crop Name,District Name,Crop Year,Revenue per Hectare (INR)
Barley,Gangtok,1997,2700
Barley,Gangtok,1998,2144
Barley,Gangtok,1999,4118
Barley,Gangtok,2000,3326
Barley,Gangtok,2001,4012
Barley,Gangtok,2002,3855
Barley,Gangtok,2003,3750
Barley,Gangtok,2004,3864
Barley,Gangtok,2005,4195
Barley,Gangtok,2006,4071
Barley,Gangtok,2007,4577
Barley,Gangtok,2008,4252
Barley,Gangtok,2009,4512
Barley,Gangtok,2010,5220
Barley,Gangtok,2011,5927
Barley,Gangtok,2012,10208
Barley,Gangtok,2013,11957
Barley,Gangtok,2014,12318
Barley,Gangtok,2015,13230
Barley,Gangtok,2016,14402
Barley,Gangtok,2017,15353
Barley,Gangtok,2018,16533
Barley,Gangtok,2019,17530
Barley,Gangtok,2020,18400
Barley,Gangtok,2021,16486
Barley,Gangtok,2022,19686
Barley,Geyzing,1997,3738
Barley,Geyzing,1998,3600
Barley,Geyzing,1999,4169
Barley,Geyzing,2000,3029
Barley,Geyzing,2001,4202
Barley,Geyzing,2002,4764
Barley,Geyzing,2003,4400
Barley,Geyzing,2004,4533
Barley,Geyzing,2005,4812
Barley,Geyzing,2006,4872
Barley,Geyzing,2007,3942
Barley,Geyzing,2008,5222
Barley,Geyzing,2009,4909
Barley,Geyzing,2010,5655
Barley,Geyzing,2011,6350
Barley,Geyzing,2012,8820
Barley,Geyzing,2013,9900
Barley,Geyzing,2014,10350
Barley,Geyzing,2015,11229
Barley,Geyzing,2016,12231
Barley,Geyzing,2021,15398
Barley,Mangan,1997,3726
Barley,Mangan,1998,3726
Barley,Mangan,1999,3864
Barley,Mangan,2000,2900
Barley,Mangan,2001,2037
Barley,Mangan,2002,2286
Barley,Mangan,2003,2593
Barley,Mangan,2004,2914
Barley,Mangan,2005,3550
Barley,Mangan,2006,3257
Barley,Mangan,2007,4300
Barley,Mangan,2008,3760
Barley,Mangan,2009,5042
Barley,Mangan,2010,6836
Barley,Mangan,2011,7257
Barley,Mangan,2012,10500
Barley,Mangan,2013,11864
Barley,Mangan,2014,12321
Barley,Mangan,2015,13388
Barley,Mangan,2016,14575
Barley,Mangan,2017,15559
Barley,Mangan,2018,17177
Barley,Mangan,2019,18155
Barley,Mangan,2020,19068
Barley,Mangan,2021,16073
Barley,Mangan,2022,20773
Barley,Namchi,1997,2314
Barley,Namchi,1998,1989
