Crop Name,District Name,Crop Year,Crop Season,Cultivation Area (Hectare),Production (Tonne),Yield (Tonne per Hectare),Cost of Cultivation per Hectare (INR),Revenue per Hectare (INR),Annual Rainfall (mm),Rainfall Category,Organic Phase Code,Organic Phase Label,Rainfall Category Code
Barley,Gangtok,1997,Rabi,500,500.0,1.0,5100,2700,3100,Normal,0,Conventional,1
Barley,Gangtok,1998,Rabi,340,270.0,0.79,5500,2144,2890,Normal,0,Conventional,1
Barley,Gangtok,1999,Rabi,340,500.0,1.47,5900,4118,3210,Normal,0,Conventional,1
Barley,Gangtok,2000,Rabi,340,390.0,1.15,6300,3326,2780,Deficient,0,Conventional,2
Barley,Gangtok,2001,Rabi,340,440.0,1.29,6780,4012,3080,Normal,0,Conventional,1
Barley,Gangtok,2002,Rabi,440,530.0,1.2,7260,3855,2970,Normal,0,Conventional,1
Barley,Gangtok,2003,Rabi,440,500.0,1.14,7740,3750,3740,Excess,1,Transition,0
Barley,Gangtok,2004,Rabi,440,500.0,1.14,8220,3864,3200,Normal,1,Transition,1
Barley,Gangtok,2005,Rabi,440,520.0,1.18,8700,4195,2750,Deficient,1,Transition,2
Barley,Gangtok,2006,Rabi,420,450.0,1.07,9633,4071,2680,Deficient,1,Transition,2
Barley,Gangtok,2007,Rabi,310,330.0,1.06,10567,4577,2610,Deficient,1,Transition,2
Barley,Gangtok,2008,Rabi,210,190.0,0.9,11500,4252,3080,Normal,1,Transition,1
Barley,Gangtok,2009,Rabi,410,370.0,0.9,12850,4512,2460,Deficient,1,Transition,2
Barley,Gangtok,2010,Rabi,320,288.0,0.9,14200,5220,3050,Normal,1,Transition,1
Barley,Gangtok,2011,Rabi,300,280.0,0.93,16100,5927,3230,Normal,1,Transition,1
Barley,Gangtok,2012,Rabi,240,250.0,1.04,18000,10208,2590,Deficient,1,Transition,2
Barley,Gangtok,2013,Rabi,230,250.0,1.09,19500,11957,3010,Normal,1,Transition,1
Barley,Gangtok,2014,Rabi,225,241.0,1.07,21000,12318,3200,Normal,1,Transition,1
Barley,Gangtok,2015,Rabi,225,243.0,1.08,22500,13230,2910,Normal,1,Transition,1
Barley,Gangtok,2016,Rabi,230,250.0,1.09,24167,14402,3120,Normal,2,Organic,1
Barley,Gangtok,2017,Rabi,225,245.0,1.09,25833,15353,3000,Normal,2,Organic,1
Barley,Gangtok,2018,Rabi,216,248.0,1.15,27500,16533,2820,Normal,2,Organic,1
Barley,Gangtok,2019,Rabi,214,246.0,1.15,29250,17530,3090,Normal,2,Organic,1
Barley,Gangtok,2020,Rabi,200,230.0,1.15,31000,18400,2900,Normal,2,Organic,1
Barley,Gangtok,2021,Rabi,1199,1209.0,1.01,33000,16486,3190,Normal,2,Organic,1
Barley,Gangtok,2022,Rabi,52,59.0,1.13,35000,19686,2860,Normal,2,Organic,1
Barley,Geyzing,1997,Rabi,450,623.0,1.38,5100,3738,2700,Normal,0,Conventional,1
Barley,Geyzing,1998,Rabi,450,600.0,1.33,5500,3600,2500,Normal,0,Conventional,1
Barley,Geyzing,1999,Rabi,450,670.0,1.49,5900,4169,2780,Normal,0,Conventional,1
Barley,Geyzing,2000,Rabi,450,470.0,1.04,6300,3029,2420,Deficient,0,Conventional,2
Barley,Geyzing,2001,Rabi,450,610.0,1.36,6780,4202,2680,Normal,0,Conventional,1
Barley,Geyzing,2002,Rabi,450,670.0,1.49,7260,4764,2590,Normal,0,Conventional,1
Barley,Geyzing,2003,Rabi,450,600.0,1.33,7740,4400,3250,Excess,1,Transition,0
Barley,Geyzing,2004,Rabi,450,600.0,1.33,8220,4533,2790,Normal,1,Transition,1
Barley,Geyzing,2005,Rabi,450,610.0,1.36,8700,4812,2390,Deficient,1,Transition,2
Barley,Geyzing,2006,Rabi,390,500.0,1.28,9633,4872,2310,Deficient,1,Transition,2
Barley,Geyzing,2007,Rabi,120,110.0,0.92,10567,3942,2260,Deficient,1,Transition,2
Barley,Geyzing,2008,Rabi,90,100.0,1.11,11500,5222,2680,Normal,1,Transition,1
Barley,Geyzing,2009,Rabi,110,108.0,0.98,12850,4909,2130,Deficient,1,Transition,2
Barley,Geyzing,2010,Rabi,40,39.0,0.98,14200,5655,2650,Normal,1,Transition,1
Barley,Geyzing,2011,Rabi,40,40.0,1.0,16100,6350,2810,Normal,1,Transition,1
Barley,Geyzing,2012,Rabi,100,90.0,0.9,18000,8820,2250,Deficient,1,Transition,2
Barley,Geyzing,2013,Rabi,100,90.0,0.9,19500,9900,2620,Normal,1,Transition,1
Barley,Geyzing,2014,Rabi,20,18.0,0.9,21000,10350,2780,Normal,1,Transition,1
Barley,Geyzing,2015,Rabi,12,11.0,0.92,22500,11229,2530,Normal,1,Transition,1
